decimalism,hexadecimal,kanji
197575,0x303c7,𰏇
197576,0x303c8,𰏈
197577,0x303c9,𰏉
197578,0x303ca,𰏊
197579,0x303cb,𰏋
197580,0x303cc,𰏌
197581,0x303cd,𰏍
197582,0x303ce,𰏎
197583,0x303cf,𰏏
197584,0x303d0,𰏐
197585,0x303d1,𰏑
197586,0x303d2,𰏒
197587,0x303d3,𰏓
197588,0x303d4,𰏔
197589,0x303d5,𰏕
197590,0x303d6,𰏖
197591,0x303d7,𰏗
197592,0x303d8,𰏘
197593,0x303d9,𰏙
197594,0x303da,𰏚
197595,0x303db,𰏛
197596,0x303dc,𰏜
197597,0x303dd,𰏝
197598,0x303de,𰏞
197599,0x303df,𰏟
197600,0x303e0,𰏠
197601,0x303e1,𰏡
197602,0x303e2,𰏢
197603,0x303e3,𰏣
197604,0x303e4,𰏤
197605,0x303e5,𰏥
197606,0x303e6,𰏦
197607,0x303e7,𰏧
197608,0x303e8,𰏨
197609,0x303e9,𰏩
197610,0x303ea,𰏪
197611,0x303eb,𰏫
197612,0x303ec,𰏬
197613,0x303ed,𰏭
197614,0x303ee,𰏮
197615,0x303ef,𰏯
197616,0x303f0,𰏰
197617,0x303f1,𰏱
197618,0x303f2,𰏲
197619,0x303f3,𰏳
197620,0x303f4,𰏴
197621,0x303f5,𰏵
197622,0x303f6,𰏶
197623,0x303f7,𰏷
197624,0x303f8,𰏸
197625,0x303f9,𰏹
197626,0x303fa,𰏺
197627,0x303fb,𰏻
197628,0x303fc,𰏼
197629,0x303fd,𰏽
197630,0x303fe,𰏾
